id,RegionName
C01,Los Angeles County
C02,San Diego County
C03,Orange County
C04,Riverside County
C05,San Bernardino County
C06,Santa Clara County
C07,Alameda County
C08,Sacramento County
C09,Contra Costa County
C10,Fresno County
C11,Kern County
C12,San Francisco County
C13,Ventura County
C14,San Joaquin County
C15,San Mateo County
C16,Stanislaus County
C17,Sonoma County
C18,Tulare County
C19,Solano County
C20,Santa Barbara County
C21,Monterey County
C22,Placer County
C23,San Luis Obispo County
C24,Merced County
C25,Santa Cruz County
C26,Marin County
C27,Butte County
C28,Yolo County
C29,El Dorado County
C30,Shasta County
C31,Imperial County
C32,Madera County
C33,Kings County
C34,Napa County
C35,Humboldt County
C36,Nevada County
C37,Sutter County
C38,Mendocino County
C39,Yuba County
C40,Lake County
C41,Tehama County
C42,San Benito County
C43,Tuolumne County
C44,Calaveras County
C45,Siskiyou County
C46,Amador County
C47,Lassen County
C48,Glenn County
C49,Del Norte County
C50,Colusa County
C51,Plumas County
C52,Inyo County
C53,Mariposa County
C54,Trinity County
C55,Mono County
C56,Modoc County
C57,Sierra County
C58,Alpine County
